"product","order_count"
"туалетная бумага мягкий знак 1 слой, белая, 1 рулон","188"
"Чипсы Lay's со вкусом зеЛеного лука, 150 Б","188"
"Масло сливочное Вкуснотеево традиционное, 82,5%, 200 Б","186"
"Нектар Догрый виноград, 1 л","186"
"Конфеты Коровка вафельные, молочные, 250 Б","186"
"творог Савушкин Хуторок 9%, 300 Б","185"
"Десерт творожный Чудо с клубникой и земляникой, 4%, 100 Б","185"
"Фрикадельки Самсон из фарша индейки, охлажденные, 300 Б","185"
"Нектар Rich рубиновый апельсин, 1 л","185"
"Напиток Lotte Aloe Vera неГазированный, с мякотью алон, со вкусом манго, 240 мл","185"
"Мороженое Mars с карамелью, 315 Б","184"
"Напиток DrPepper (СЩА) Газированный, 355 мл","184"
"Бумажные носовые платки Zewa Deluxe 3 слоя, 10 упаковок, 100 шт","182"
